reviewId	charcount	overallMerit	reviewerQualification	outcome	paperid
764	1801	2	4	-1	72
1159	1680	4	3	-1	129
766	463	3	2	-1	129
767	1795	4	2	2	186
768	2406	3	3	2	186
769	2421	1	1	-1	243
1230	6115	2	3	-1	385
771	5064	1	3	-1	300
772	5191	1	3	-1	300
1348	4825	2	4	-1	357
774	2057	4	4	-1	357
775	3439	3	3	2	70
776	6613	3	4	2	70
778	4447	3	3	2	355
779	732	1	4	-1	11
780	1134	1	2	-1	11
1164	2349	2	4	-1	239
1165	3553	1	3	-1	123
784	6244	2	4	-1	239
785	2886	3	2	-1	353
786	2726	2	2	-1	353
787	8749	2	4	-1	66
788	652	2	2	-1	66
789	4490	2	2	-1	123
1167	515	1	3	-1	180
1168	6037	1	3	-1	237
792	1350	1	3	-1	180
1136	2197	3	2	-1	139
715	1346	1	2	-1	82
716	5075	2	3	-1	82
717	5430	1	3	-1	139
1137	2906	3	1	-1	364
719	3893	2	4	-1	196
1138	4609	1	3	-1	196
713	6401	4	2	-1	25
1192	2164	1	3	-1	390
837	2035	2	2	-1	113
838	4311	2	3	-1	113
839	2106	2	4	-1	170
840	1426	3	4	-1	170
841	3333	2	1	-1	227
842	3964	2	2	-1	227
822	912	1	4	-1	1
813	2327	2	4	-1	290
1226	2904	2	3	-1	396
815	3448	4	3	-1	60
866	4050	3	4	-1	50
867	2305	3	2	2	164
1198	2396	2	3	-1	111
1197	2240	3	2	-1	105
1094	1542	2	4	-1	279
834	9771	3	4	-1	400
835	2823	2	3	-1	56
1091	4838	2	2	-1	338
751	8067	2	3	-1	247
902	711	2	3	-1	158
1106	4442	3	2	-1	153
855	4075	2	3	-1	52
856	2348	2	1	-1	52
857	7598	1	3	-1	109
858	1061	2	4	-1	109
859	2160	1	4	-1	166
1199	10706	2	3	-1	48
861	2353	2	2	-1	280
862	3339	2	3	-1	280
863	6760	2	4	-1	337
1200	1185	1	4	-1	168
900	1919	2	4	-1	101
887	1968	3	4	-1	46
883	2724	2	4	-1	333
891	6505	2	4	-1	160
1160	4571	3	3	2	355
833	4153	3	2	-1	400
832	16958	2	3	-1	343
1195	3379	3	3	-1	219
798	1268	2	2	-1	351
799	957	1	2	-1	7
800	770	1	3	-1	7
801	3373	1	2	-1	121
1171	3834	2	2	-1	121
1172	669	2	2	-1	292
804	1976	1	3	-1	292
805	2600	2	3	-1	5
806	2039	1	4	-1	5
807	2506	2	4	-1	62
808	1201	2	3	-1	62
809	1625	1	2	-1	176
1175	1439	1	4	-1	1
811	4116	1	4	-1	233
812	2154	1	3	-1	233
712	4308	2	2	2	369
709	2139	3	1	-1	312
710	1842	4	3	-1	312
711	4837	3	2	2	369
684	792	2	3	-1	259
685	1541	1	2	-1	316
686	1566	1	1	-1	316
1232	1247	1	2	-1	373
1124	816	1	3	-1	373
689	1359	2	3	-1	29
1130	8258	1	4	-1	143
691	2847	2	3	-1	86
1128	2261	2	3	-1	86
693	1155	1	3	-1	143
1131	2853	3	2	-1	257
695	2054	4	2	-1	200
696	2855	2	3	-1	200
1225	5020	3	4	-1	290
698	4348	2	4	-1	257
699	2726	2	3	-1	371
1135	1925	2	2	-1	25
701	3714	2	4	-1	27
702	1942	3	3	-1	27
703	3343	3	3	-1	84
704	6828	3	3	-1	84
1134	4757	2	3	-1	198
706	4379	2	3	-1	198
707	657	1	2	-1	255
708	520	1	3	-1	255
651	9465	2	3	-1	265
652	4735	3	3	-1	265
653	1443	2	3	-1	322
1113	3549	4	3	-1	379
655	2986	2	4	-1	379
1114	3265	2	2	-1	325
657	939	1	3	-1	92
658	7576	2	3	-1	92
659	4868	1	3	-1	263
660	2933	2	4	-1	263
663	3749	2	3	-1	377
664	4360	2	3	-1	377
665	1026	2	3	-1	90
666	3778	1	3	-1	90
1347	1998	2	4	-1	32
668	2027	2	4	-1	147
1117	1672	2	4	-1	204
670	2519	3	1	-1	204
671	1702	2	2	-1	318
672	1721	2	4	-1	318
1118	18400	2	3	-1	375
674	5649	2	4	-1	375
675	409	1	3	-1	31
676	1687	1	3	-1	31
1224	1277	1	3	-1	88
678	2579	1	4	-1	88
679	6149	2	2	-1	145
680	2271	2	4	-1	145
681	3990	3	1	2	202
1120	1907	2	2	2	202
1190	1123	1	2	-1	259
1111	3988	2	2	-1	384
649	1284	1	4	-1	208
650	7940	1	4	-1	208
827	6167	3	2	-1	172
828	376	4	2	-1	172
829	2507	2	4	-1	286
830	5897	2	4	-1	286
831	5406	4	4	-1	343
880	2174	1	2	-1	219
864	1428	2	3	-1	337
1105	3266	2	4	-1	212
886	5717	1	4	-1	390
546	2432	2	3	-1	285
1231	3060	1	4	-1	342
548	6601	1	4	-1	342
549	1423	2	1	-1	55
1205	6754	1	3	-1	166
552	5216	1	3	-1	112
553	1972	2	3	-1	226
554	4207	2	4	-1	226
555	5932	2	2	-1	283
1206	2420	2	3	-1	396
557	1864	1	3	-1	340
558	1611	1	4	-1	340
559	5425	1	4	-1	397
560	6201	1	4	-1	397
561	7391	2	3	-1	110
562	5860	2	3	-1	110
563	2028	1	4	-1	167
564	1318	1	3	-1	167
565	4260	1	4	-1	224
1228	4799	1	4	-1	224
1090	3653	1	3	-1	281
568	3021	2	2	-1	281
569	5819	3	3	-1	338
1208	1852	3	3	-1	56
1092	2013	1	4	-1	395
572	664	1	3	-1	395
573	3835	2	3	-1	108
1093	4172	2	4	-1	108
575	5818	1	3	-1	165
576	4388	2	2	-1	165
577	1000	3	4	-1	279
1098	3075	2	3	-1	104
1095	5434	2	2	-1	106
580	2530	2	4	-1	106
581	1398	1	3	-1	163
582	6878	1	4	-1	163
583	2920	1	4	-1	220
584	1807	1	2	-1	220
1096	1833	2	2	-1	334
586	2017	2	2	-1	334
1097	1204	1	3	-1	391
588	1356	1	4	-1	391
589	9478	2	4	-1	47
590	3376	2	4	-1	47
591	3378	2	4	-1	104
1209	1715	3	2	2	268
593	5416	1	4	-1	161
594	3110	1	3	-1	161
595	7416	2	3	-1	218
596	4532	3	3	-1	218
597	1743	1	3	-1	275
1099	805	1	4	-1	275
599	2870	2	3	-1	332
600	695	1	3	-1	332
603	3335	1	3	-1	45
1100	880	1	3	-1	45
605	2560	2	3	-1	102
606	3046	1	3	-1	102
607	11090	4	3	-1	159
608	1479	2	2	-1	159
609	6090	3	3	-1	216
610	3446	3	3	-1	216
611	7416	1	4	-1	273
1101	1416	1	4	-1	273
613	2515	2	3	2	330
614	3598	1	2	2	330
615	2430	2	3	-1	387
616	3050	4	3	-1	387
617	9653	2	3	-1	100
618	4616	2	4	-1	100
1102	2419	2	3	-1	157
620	10954	2	3	-1	157
1193	1478	4	3	-1	333
1104	1003	1	3	-1	385
625	2800	3	2	-1	98
626	2280	2	3	-1	98
627	2158	2	3	-1	212
1189	2024	3	3	-1	158
629	3139	2	4	-1	269
630	958	1	2	-1	269
631	1798	1	2	-1	326
632	9485	1	4	-1	326
633	6997	1	4	-1	383
634	3743	1	4	-1	383
635	3195	2	4	-1	153
1188	2097	2	2	-1	329
637	1842	2	1	-1	210
638	3058	1	3	-1	210
639	2966	2	3	-1	267
640	3905	2	3	-1	267
641	0	2	1	-1	324
1186	2866	1	3	-1	156
1184	1873	1	3	-1	327
644	1019	1	2	-1	381
645	4092	2	4	-1	37
1109	3515	3	3	-1	37
647	2148	2	3	-1	94
907	2568	2	3	2	386
908	3632	3	2	2	386
1108	1211	1	1	-1	381
910	2405	1	3	-1	156
911	2378	3	4	2	270
1183	4141	1	4	-1	283
913	4128	2	3	-1	327
1110	2153	2	4	-1	94
915	1687	1	3	-1	384
1112	3123	1	3	-1	322
917	1504	1	3	-1	40
918	2150	1	3	-1	40
1214	2550	1	2	-1	203
920	1749	3	3	2	268
1115	1776	2	2	-1	147
1210	3041	4	1	-1	325
923	4329	2	2	-1	382
924	2972	1	2	-1	382
1116	2142	4	3	2	38
926	2160	2	3	2	38
927	3123	3	2	-1	95
1212	6553	2	4	-1	95
929	5511	2	3	-1	152
930	6248	2	3	-1	152
1211	4112	3	2	-1	209
932	4403	2	3	-1	209
933	6516	2	4	-1	323
934	3028	2	4	-1	323
935	2171	1	4	-1	380
936	1808	2	2	-1	380
937	2398	2	2	-1	207
1119	2022	3	3	-1	207
939	3836	3	4	-1	264
941	8117	2	3	-1	321
942	3583	1	4	-1	321
943	3133	2	3	-1	378
944	5023	4	2	-1	378
945	2997	3	3	2	34
946	2294	2	2	2	34
947	3351	1	4	-1	91
1213	4794	1	4	-1	91
949	1987	1	3	-1	148
950	2850	1	4	-1	148
1547	747	1	4	-1	325
952	3187	1	3	-1	262
953	6738	3	3	-1	376
954	3051	2	3	-1	376
955	4896	2	4	-1	32
1181	2981	4	3	2	59
1216	3909	2	2	-1	26
1215	1486	1	4	-1	203
1122	1748	3	2	-1	317
960	11966	2	3	-1	317
961	890	3	2	-1	374
962	2702	2	3	-1	374
963	2039	3	3	-1	87
964	4065	2	4	-1	87
1125	3569	3	2	-1	85
967	2393	1	4	-1	201
968	2862	1	4	-1	201
969	2844	2	4	-1	258
970	4919	2	3	-1	258
971	2756	3	4	2	372
972	5233	3	4	2	372
973	1140	2	2	-1	85
1126	2067	1	3	-1	29
975	7400	2	3	-1	199
976	3028	2	1	-1	199
1217	1981	2	2	-1	256
978	4043	2	1	-1	256
979	3117	2	4	-1	26
1219	4166	3	2	2	301
981	2150	3	2	-1	83
1127	1971	1	3	-1	83
983	2840	2	3	-1	311
984	2404	2	2	-1	311
985	4108	1	4	-1	24
986	2033	1	3	-1	24
987	1662	2	3	-1	195
988	2816	1	3	-1	195
1129	1337	1	3	-1	309
990	1273	2	2	-1	309
1133	2858	2	4	-1	22
992	2734	2	2	-1	22
993	3182	1	4	-1	79
1218	1972	2	2	-1	79
995	2638	2	3	2	136
996	3742	3	3	2	136
997	4098	3	3	-1	250
998	9943	3	4	-1	250
999	2903	4	3	-1	364
1139	4597	4	3	-1	191
1001	1843	1	4	-1	20
1002	2748	1	4	-1	20
1003	4838	4	3	2	77
1004	3972	3	4	2	77
1140	3623	1	3	-1	310
1006	2962	2	4	-1	191
1007	4776	2	4	-1	248
1008	2474	2	4	-1	248
1141	1072	1	4	-1	362
1010	3857	2	3	-1	362
1011	4348	2	2	-1	18
1147	1592	1	3	-1	132
1013	1832	1	2	-1	75
1014	2091	3	2	-1	75
1015	1259	1	3	-1	132
1017	5399	3	3	2	246
1018	3280	4	2	2	246
1019	2158	2	4	-1	360
1020	3057	1	2	-1	360
1021	4808	2	3	-1	73
1022	7897	2	1	-1	73
1221	1869	2	3	-1	371
1028	5527	3	2	2	301
1029	1399	1	3	-1	358
1220	2137	1	2	-1	358
1031	1215	1	3	-1	14
1032	993	1	4	-1	14
1033	3370	2	3	-1	128
1034	2629	1	2	-1	128
1035	3344	3	3	-1	185
1036	2541	2	3	-1	185
1037	1761	3	1	-1	299
1038	3044	3	2	-1	299
1039	5780	2	3	-1	356
1040	2182	1	1	-1	356
1041	4802	1	4	-1	12
1042	2706	2	2	-1	12
1043	3505	1	3	-1	69
1151	1105	4	1	-1	69
1045	4428	2	4	-1	126
1046	3385	3	3	-1	126
1155	5069	2	4	-1	190
1048	7431	3	4	-1	354
1051	1559	2	3	-1	124
1052	1574	2	2	-1	124
1053	1551	2	3	-1	181
1054	3226	3	2	-1	181
1055	4162	2	3	-1	238
1056	3211	3	3	-1	238
1057	4605	2	3	-1	295
1222	3558	2	3	-1	295
1059	2677	2	3	2	352
1166	1793	3	3	2	352
1061	2132	3	2	-1	65
1062	2053	4	4	-1	65
1063	3717	2	3	-1	122
1064	4852	1	4	-1	122
1065	1776	1	3	-1	291
1170	6091	3	3	-1	294
1176	662	2	3	-1	4
1068	1331	2	2	-1	4
1179	5245	2	2	-1	232
1070	3509	3	3	2	61
1071	3675	2	3	-1	118
1072	4161	3	3	-1	118
1073	4565	2	3	-1	175
1074	2456	2	2	-1	175
1075	2189	3	2	-1	232
1180	1301	1	4	-1	285
1077	2792	3	3	2	346
1078	9244	3	4	2	346
1079	5026	3	3	2	2
1080	4731	3	3	2	2
1182	1961	1	3	-1	112
1082	5325	4	3	2	59
1083	2563	2	3	-1	287
1084	13327	2	3	-1	287
1223	2927	1	3	-1	344
1086	5413	1	4	-1	344
1087	4361	2	3	-1	0
1088	2180	1	3	-1	0
1227	835	1	2	-1	243
1238	9217	2	4	-1	48
1239	5180	3	3	-1	249
1240	4182	1	3	-1	106
1241	4555	1	3	-1	83
1242	2374	3	3	-1	284
1243	3565	3	4	2	270
1244	2543	3	2	-1	364
1245	8466	2	3	-1	84
1246	3479	3	4	2	365
1247	4824	3	2	2	133
1248	4958	2	3	2	359
1249	2709	1	3	-1	272
1250	4893	3	3	2	77
1251	2654	2	3	-1	65
1252	3719	2	4	-1	279
1253	2347	3	3	-1	387
1254	7580	2	4	-1	157
1255	2340	1	3	-1	379
1256	3631	2	3	-1	200
1345	4455	1	3	-1	25
1258	3309	4	3	2	76
1259	4491	4	4	2	186
1260	4940	3	3	-1	60
1261	7489	2	4	-1	392
1262	2815	2	2	-1	333
1263	2858	3	4	2	38
1264	5343	2	3	-1	378
1265	5474	2	4	-1	191
1266	2718	2	4	-1	354
1267	1849	2	4	-1	232
1268	4631	2	3	-1	192
1270	3549	3	4	2	61
1271	5115	2	4	-1	104
1272	6471	2	4	-1	216
1273	4218	3	4	2	355
1274	2991	2	4	-1	105
1275	1767	4	2	2	372
1276	3338	2	3	-1	250
1277	10052	2	4	-1	299
1278	3236	3	4	2	346
1279	12812	4	3	2	2
1280	4508	2	3	-1	338
1282	2537	3	2	-1	47
1283	9105	1	3	-1	218
1284	3578	2	4	-1	159
1285	2845	2	4	-1	98
1286	3363	4	2	-1	153
1287	6054	3	4	-1	267
1288	3327	3	3	-1	37
1289	6935	1	4	-1	265
1290	1674	3	2	-1	204
1291	3753	2	3	2	202
1292	1679	2	3	-1	27
1293	2898	3	4	2	369
1294	2992	2	3	-1	19
1295	6156	2	2	-1	353
1298	11155	2	4	-1	290
1299	6243	2	3	-1	56
1300	1428	2	3	-1	170
1301	3077	2	4	-1	50
1302	6503	2	4	-1	276
1303	5667	2	4	-1	46
1306	4211	3	2	2	386
1305	2605	2	3	-1	274
1307	5183	2	4	-1	95
1308	4459	2	4	-1	207
1309	5438	3	3	2	34
1310	3853	1	3	-1	376
1312	6105	2	1	-1	85
1313	3044	3	2	2	136
1314	5208	2	4	-1	185
1315	2052	1	3	-1	126
1316	4442	2	3	-1	238
1331	3156	2	3	-1	118
1318	6214	1	3	-1	139
1319	5951	3	3	-1	23
1321	1981	2	2	-1	79
1322	3293	2	4	-1	122
1332	2002	1	4	-1	185
1333	6563	5	4	2	59
1334	2468	3	3	-1	312
1335	4811	4	4	-1	129
1336	4138	1	3	-1	172
1337	3104	2	4	-1	302
1338	4340	3	4	-1	158
1339	4347	3	3	2	352
1340	5776	3	2	-1	308
1341	1824	1	4	-1	264
1342	5536	2	4	-1	18
1343	2049	3	3	-1	256
1344	5607	3	2	-1	100
1349	0	1	4	-1	269
1351	3420	2	4	-1	357
1352	2662	1	4	-1	66
1353	2718	3	2	-1	199
1541	6178	1	4	-1	374
1355	2196	2	3	-1	334
1356	5443	3	4	2	330
1357	4139	1	4	-1	210
1359	3995	2	2	-1	294
1361	8660	1	3	-1	400
1362	5067	2	3	-1	52
1363	3605	2	4	-1	337
1364	7096	4	3	2	301
1365	2404	3	2	2	246
1366	3102	3	3	-1	317
1367	2779	2	4	-1	75
1368	2754	2	3	-1	32
1369	1618	3	2	2	268
1370	2795	3	3	2	164
1371	6150	3	3	2	70
1372	3675	3	3	-1	147
1373	7124	3	3	-1	135
1374	4015	2	4	-1	343
1375	1675	1	4	-1	396
1376	4358	2	3	-1	4
1377	16548	2	4	-1	364
1378	1148	1	3	-1	165
1379	5196	2	4	-1	325
1380	14628	2	3	-1	181
1381	8054	1	4	-1	219
1382	2891	2	2	-1	55
1383	7942	3	2	-1	284
1384	6839	1	4	-1	47
1385	3326	2	4	-1	208
1386	2902	2	2	-1	257
1387	2472	1	4	-1	280
1388	1237	1	2	-1	262
1542	1486	2	3	-1	387
1390	2208	3	4	-1	284
1391	2994	1	4	-1	23
1392	2075	2	3	-1	209
1393	2294	3	2	-1	392
1394	2021	1	3	-1	124
1397	2960	2	3	-1	159
1396	2996	4	2	2	61
1398	3317	2	3	-1	129
1399	2702	2	4	-1	191
1400	6470	1	3	-1	69
1402	1156	3	3	2	34
1403	2509	2	3	-1	23
1404	10574	2	4	2	355
1405	1282	2	3	-1	227
1407	7169	4	3	2	301
1409	1833	3	3	2	76
1410	4528	3	3	-1	317
1411	2408	2	4	-1	65
1412	2982	2	4	2	330
1413	2037	3	2	2	133
1414	5805	3	3	2	246
1415	4934	2	2	-1	400
1416	7360	2	3	2	34
1417	4511	3	2	2	133
1418	4175	1	4	-1	129
1419	2612	2	3	2	38
1420	6918	4	3	2	186
1421	4001	2	3	-1	84
1422	2488	1	3	-1	153
1430	3683	1	3	-1	308
1424	3973	2	4	-1	232
1425	4868	2	3	-1	378
1427	3488	2	3	-1	158
1428	4108	1	3	-1	135
1429	1639	3	3	2	136
1432	3770	3	2	2	369
1431	4502	2	4	2	365
1435	2370	2	4	2	270
1434	4464	1	3	2	246
1436	3827	4	3	2	59
1439	3676	2	4	2	76
1438	1449	3	3	-1	312
1440	1061	4	2	2	372
1442	5984	4	3	2	77
1443	942	2	3	2	246
1444	6769	3	3	2	301
1445	1803	2	3	-1	135
1446	2946	3	2	-1	302
1447	3718	3	4	2	359
1448	3084	2	4	2	359
1449	3899	3	4	2	186
1450	8084	5	2	2	70
1451	4210	3	3	2	355
1452	5636	2	3	-1	60
1453	1760	3	3	2	164
1454	12388	2	2	-1	105
1455	2953	3	3	-1	333
1456	3657	3	3	2	268
1457	6345	3	2	-1	325
1459	4325	2	3	-1	354
1461	3008	2	4	2	346
1462	2870	4	1	2	2
1463	4050	4	2	2	2
1464	1602	3	3	2	61
1465	3576	2	4	-1	216
1466	4151	2	3	-1	216
1467	2950	3	4	-1	157
1549	1261	2	2	-1	23
1469	5788	2	4	-1	37
1470	3570	2	3	2	369
1471	7928	3	3	-1	172
1472	4679	2	4	-1	392
1473	4377	2	3	-1	158
1474	4835	2	3	-1	272
1475	5793	2	3	-1	272
1476	3482	2	4	-1	378
1477	1806	3	2	-1	299
1478	4230	2	3	2	352
1479	2371	5	4	2	352
1480	4529	2	3	-1	218
1482	5169	1	3	-1	98
1483	4013	2	3	-1	204
1485	3901	3	2	-1	353
1487	2196	2	3	-1	290
1488	2697	3	4	-1	170
1489	3438	2	4	-1	274
1490	5709	3	3	-1	374
1491	6560	2	3	-1	87
1492	5767	2	3	-1	126
1493	3658	1	4	-1	238
1494	3964	3	2	2	202
1495	7759	2	4	-1	256
1496	1314	4	2	2	386
1497	3455	3	3	-1	147
1498	2200	1	2	-1	387
1499	1113	3	4	2	330
1500	2595	2	4	-1	37
1502	1140	2	4	-1	209
1503	2444	2	4	-1	250
1504	5219	2	3	-1	172
1505	2085	3	2	2	270
1506	1792	1	4	-1	387
1507	1114	4	3	-1	153
1508	6527	2	3	-1	302
1510	633	3	3	2	355
1511	1000	5	4	-1	60
1512	3405	2	3	-1	105
1513	810	3	2	2	164
1514	1334	2	3	-1	333
1515	2977	2	2	2	268
1516	3641	2	3	-1	364
1517	1136	2	3	2	346
1518	1904	3	3	-1	172
1519	2231	2	4	2	136
1520	2734	3	4	-1	216
1521	1690	3	4	-1	157
1525	4266	3	3	2	2
1526	2876	3	3	-1	284
1527	3864	1	3	-1	172
1528	3816	2	3	-1	284
1529	1348	3	2	2	77
1531	2599	3	2	2	365
1532	9223	2	3	-1	312
1533	3866	2	3	-1	129
1534	5163	4	4	2	186
1535	3859	2	3	-1	158
1536	4059	3	3	2	372
1537	5844	3	3	-1	272
1540	4983	1	3	-1	26
1543	1115	2	3	-1	84
1544	3663	2	4	2	355
1545	3389	2	3	-1	105
1548	866	2	3	2	372
1550	3517	2	4	2	76
1551	850	2	3	-1	170
1552	1176	2	4	-1	118
1553	1072	2	2	-1	126
1554	1505	2	3	2	202
1555	1817	2	3	-1	353
1556	5334	2	3	-1	264
1557	806	2	3	-1	396
1559	2403	2	3	-1	60
1560	354	2	2	-1	256
1561	1922	2	4	-1	60
1562	3563	2	3	-1	153
1563	11582	3	4	2	363
1564	5351	3	4	2	363
1565	4465	3	3	2	363
1566	3972	2	4	2	363
1568	2623	1	3	-1	304
1569	5185	3	2	-1	304
1570	4713	2	4	-1	304
1571	4414	1	3	-1	304
1572	6603	1	2	-1	341
1573	1762	1	3	-1	341
1574	4540	1	3	-1	221
1575	3034	2	4	-1	221
1576	2440	2	3	-1	221
1577	4033	2	4	-1	335
1578	1708	2	2	-1	335
1579	2265	2	4	-1	335
1580	1186	1	3	-1	144
1581	9062	3	3	-1	144
1582	2350	1	3	-1	144
1583	2313	2	2	-1	144
1584	10783	2	3	-1	130
1585	1548	1	2	-1	130
1586	1941	1	3	-1	130
1587	5454	3	3	-1	244
1588	13853	3	2	-1	244
1589	2856	2	3	-1	244
1590	3700	2	4	-1	244
1591	3978	3	2	-1	67
1592	3197	1	3	-1	67
1593	3157	2	2	-1	67
